2026-04-09T13:26:39 | INFO     | BD-Replica           | BD inicializada en: /home/estudiante/trafico_urbano/pc3/trafico_principal.db
2026-04-09T13:26:39 | INFO     | BD-Principal         | BD Principal PULL en *:5559
2026-04-09T13:26:39 | INFO     | BD-Principal         | BD Principal REP  en *:5570
2026-04-09T13:26:39 | INFO     | BD-Principal         | Heartbeat PUB en *:5561 (cada 3s)
2026-04-09T13:26:39 | INFO     | BD-Principal         | ══════════════════════════════════════════════════
2026-04-09T13:26:39 | INFO     | BD-Principal         |   BD Principal iniciada
2026-04-09T13:26:39 | INFO     | BD-Principal         | ══════════════════════════════════════════════════
2026-04-09T13:26:57 | INFO     | BD-Principal         | BD Principal: 100 registros almacenados
2026-04-09T13:27:11 | INFO     | BD-Principal         | BD Principal: 200 registros almacenados
2026-04-09T13:27:21 | INFO     | BD-Principal         | BD Principal: 300 registros almacenados
2026-04-09T13:27:32 | INFO     | BD-Principal         | BD Principal: 400 registros almacenados
2026-04-09T13:27:42 | INFO     | BD-Principal         | BD Principal: 500 registros almacenados
2026-04-09T13:27:57 | INFO     | BD-Principal         | BD Principal: 600 registros almacenados
2026-04-09T13:28:11 | INFO     | BD-Principal         | BD Principal: 700 registros almacenados
2026-04-09T13:28:21 | INFO     | BD-Principal         | BD Principal: 800 registros almacenados
2026-04-09T13:28:32 | INFO     | BD-Principal         | BD Principal: 900 registros almacenados
2026-04-09T13:28:42 | INFO     | BD-Principal         | BD Principal: 1000 registros almacenados
2026-04-09T13:28:57 | INFO     | BD-Principal         | BD Principal: 1100 registros almacenados
2026-04-09T13:29:11 | INFO     | BD-Principal         | BD Principal: 1200 registros almacenados
2026-04-09T13:29:21 | INFO     | BD-Principal         | BD Principal: 1300 registros almacenados
2026-04-09T13:29:32 | INFO     | BD-Principal         | BD Principal: 1400 registros almacenados
2026-04-09T13:29:42 | INFO     | BD-Principal         | BD Principal: 1500 registros almacenados
2026-04-09T13:29:57 | INFO     | BD-Principal         | BD Principal: 1600 registros almacenados
2026-04-09T13:30:11 | INFO     | BD-Principal         | BD Principal: 1700 registros almacenados
2026-04-09T13:30:22 | INFO     | BD-Principal         | BD Principal: 1800 registros almacenados
2026-04-09T13:30:32 | INFO     | BD-Principal         | BD Principal: 1900 registros almacenados
2026-04-09T13:30:42 | INFO     | BD-Principal         | BD Principal: 2000 registros almacenados
2026-04-09T13:30:57 | INFO     | BD-Principal         | BD Principal: 2100 registros almacenados
2026-04-09T13:31:11 | INFO     | BD-Principal         | BD Principal: 2200 registros almacenados
2026-04-09T13:31:22 | INFO     | BD-Principal         | BD Principal: 2300 registros almacenados
2026-04-09T13:31:32 | INFO     | BD-Principal         | BD Principal: 2400 registros almacenados
2026-04-09T13:31:42 | INFO     | BD-Principal         | BD Principal: 2500 registros almacenados
2026-04-09T13:31:57 | INFO     | BD-Principal         | BD Principal: 2600 registros almacenados
2026-04-09T13:32:11 | INFO     | BD-Principal         | BD Principal: 2700 registros almacenados
2026-04-09T13:32:22 | INFO     | BD-Principal         | BD Principal: 2800 registros almacenados
2026-04-09T13:32:32 | INFO     | BD-Principal         | BD Principal: 2900 registros almacenados
2026-04-09T13:32:42 | INFO     | BD-Principal         | BD Principal: 3000 registros almacenados
2026-04-09T13:32:57 | INFO     | BD-Principal         | BD Principal: 3100 registros almacenados
2026-04-09T13:33:11 | INFO     | BD-Principal         | BD Principal: 3200 registros almacenados
2026-04-09T13:33:22 | INFO     | BD-Principal         | BD Principal: 3300 registros almacenados
2026-04-09T13:33:32 | INFO     | BD-Principal         | BD Principal: 3400 registros almacenados
2026-04-09T13:33:42 | INFO     | BD-Principal         | BD Principal: 3500 registros almacenados
2026-04-09T13:33:57 | INFO     | BD-Principal         | BD Principal: 3600 registros almacenados
2026-04-09T13:34:11 | INFO     | BD-Principal         | BD Principal: 3700 registros almacenados
2026-04-09T13:34:22 | INFO     | BD-Principal         | BD Principal: 3800 registros almacenados
2026-04-09T13:34:32 | INFO     | BD-Principal         | BD Principal: 3900 registros almacenados
2026-04-09T13:34:42 | INFO     | BD-Principal         | BD Principal: 4000 registros almacenados
2026-04-09T13:34:57 | INFO     | BD-Principal         | BD Principal: 4100 registros almacenados
2026-04-09T13:35:12 | INFO     | BD-Principal         | BD Principal: 4200 registros almacenados
2026-04-09T13:35:22 | INFO     | BD-Principal         | BD Principal: 4300 registros almacenados
2026-04-09T13:35:32 | INFO     | BD-Principal         | BD Principal: 4400 registros almacenados
2026-04-09T13:35:42 | INFO     | BD-Principal         | BD Principal: 4500 registros almacenados
2026-04-09T13:35:57 | INFO     | BD-Principal         | BD Principal: 4600 registros almacenados
2026-04-09T13:36:12 | INFO     | BD-Principal         | BD Principal: 4700 registros almacenados
2026-04-09T13:36:22 | INFO     | BD-Principal         | BD Principal: 4800 registros almacenados
2026-04-09T13:36:32 | INFO     | BD-Principal         | BD Principal: 4900 registros almacenados
2026-04-09T13:36:42 | INFO     | BD-Principal         | BD Principal: 5000 registros almacenados
2026-04-09T13:36:57 | INFO     | BD-Principal         | BD Principal: 5100 registros almacenados
2026-04-09T13:37:12 | INFO     | BD-Principal         | BD Principal: 5200 registros almacenados
2026-04-09T13:37:22 | INFO     | BD-Principal         | BD Principal: 5300 registros almacenados
